Manufacturer,Model,Year,Predicted Price
Audi,A4,2019,41578.73724665349
Audi,A8,2016,53169.632676781715
Audi,A4,2016,40935.95935070768
Audi,A4,2004,6514.545891825925
Audi,S6,2012,86369.7968831154
Audi,Q5,2013,30436.01331133442
Audi,A6,2019,99152.334095179
Audi,S7,2015,70808.93919304677
Audi,Q5,2014,40557.61636080311
Audi,Q8,2022,164077.40857990424
Audi,Q3,2017,55678.76309229717
Audi,Q7,2021,105731.60132214538
Audi,A6,2013,85771.68368536112
Audi,Q3,2016,51685.84452517883
Audi,A6,2020,98177.18706032622
Audi,A6,2014,55487.17813235892
Audi,Q5,2012,46727.02747379289
Audi,A7,2014,53218.3504221339
Audi,Q7,2021,79751.54427356643
Audi,Q7,2016,79057.23345689346
Audi,A4,2015,78123.679376941
Audi,A5,2012,47795.39391596845
Audi,Q3,2021,78401.62049733236
Audi,S5,2017,60063.185573806266
Audi,A7,2016,64513.7587020082
Audi,Q5,2015,52534.999962038804
Audi,Q5,2014,40232.87911596302
Audi,S5,2022,108320.91809104814
Audi,A6,2013,67142.9927187694
Audi,Q5,2012,50449.68847398705
BMW,328,2012,11701.888077796262
BMW,X5,2021,56392.32191750457
BMW,X6,2010,35934.99505283927
BMW,X5,2014,26608.94183173481
BMW,X5,2019,43564.22930780198
BMW,X5,2014,26608.94183173481
BMW,428,2014,-1600.3213638477973
BMW,X5,2015,21036.765210019876
BMW,328,2012,-2939.1217304616875
BMW,520,2014,-3687.3191885513006
BMW,M340,2020,57343.970750020424
BMW,X5,2017,44165.85170930929
BMW,I3,2015,14921.668588119072
BMW,328,2014,6370.659224220777
BMW,650,2013,34542.80840579949
BMW,X4,2021,36550.02677323065
BMW,330,2017,15513.687752529891
BMW,320,2004,-26315.518777868157
BMW,X6,2014,19886.26348744419
BMW,530,2018,19710.586276674454
BMW,X5,2014,22666.844793107826
BMW,M3,1994,-38288.72714462966
BMW,M4,2019,43560.64321906267
BMW,X5,2008,-14182.593501397663
BMW,440,2022,79637.16453795019
BMW,M550,2018,25603.72066889031
BMW,M550,2021,73300.79095025727
BMW,X5,2022,67736.79259596998
BMW,X5,2014,26608.94183173481
BMW,228,2014,8622.010562501717
Mercedes-Benz,GLB 35 AMG,2021,44846.68367072885
Mercedes-Benz,GLE 63 AMG,2021,122458.845897772
Mercedes-Benz,GLE 43 AMG,2018,51876.930474371424
Mercedes-Benz,G 550,2010,39638.03018893552
Mercedes-Benz,GLE 53,2022,87931.98201640157
Mercedes-Benz,E 200,2015,9828.04386896672
Mercedes-Benz,C 300,2017,23232.550455748562
Mercedes-Benz,S 350,2014,29047.3132826423
Mercedes-Benz,S 550,2014,34692.446441094966
Mercedes-Benz,E 350,2014,15741.169404238455
Mercedes-Benz,GLA 250,2017,29471.112575452134
Mercedes-Benz,E 350,2015,25484.657122988203
Mercedes-Benz,E 220,2015,32486.928141921882
Mercedes-Benz,CLS 550,2013,41081.69629935193
Mercedes-Benz,E 55,2019,57224.46893813055
Mercedes-Benz,S 550,2012,44237.98081554417
Mercedes-Benz,V 220,2023,60373.82243217097
Mercedes-Benz,E 220,2015,34397.36931355222
Mercedes-Benz,GLC 43 AMG,2017,67297.48059710507
Mercedes-Benz,C 450 AMG,2016,28512.69271360882
Mercedes-Benz,GLA 250,2016,6972.118465937121
Mercedes-Benz,GLE 450 AMG,2016,47411.1634988674
Mercedes-Benz,G 550,2015,53312.41977396741
Mercedes-Benz,GLA 250,2014,23557.590485498247
Mercedes-Benz,CLS 450,2015,46984.502844466246
Mercedes-Benz,CLK 350,2006,7413.927304693672
Mercedes-Benz,S 600,1996,-7614.281439856146
Mercedes-Benz,GLC 300 Coupe,2017,49975.224384421985
Mercedes-Benz,GLE 43 AMG,2017,57227.98802512789
Mercedes-Benz,C 250,2013,23850.738960611438
Toyota,Prius,2007,-3888.9751382349787
Toyota,Camry,2019,29325.96505968458
Toyota,Camry,2015,8800.968842649796
Toyota,Aqua,2015,10287.329987826211
Toyota,4 Runner,2016,34009.31468498937
Toyota,Camry,2014,-35.495861062685435
Toyota,Prius,2022,28760.831128506637
Toyota,RAV 4,2018,27859.094351976084
Toyota,Camry,2014,1144.4789486035515
Toyota,Corolla,2020,16845.239063895853
Toyota,Prius,2020,21433.144147987143
Toyota,RAV 4,2015,12813.34472236441
Toyota,RAV 4,2019,25568.592381159684
Toyota,Camry,2015,5310.604065897998
Toyota,Camry,2016,14749.87836596129
Toyota,Prius,2012,-4632.921358599226
Toyota,Voxy,2012,17392.752636025732
Toyota,Yaris iA,2017,17263.064940787826
Toyota,RAV 4,2015,12117.678780796574
Toyota,Prius,2014,-20397.877000419823
Toyota,RAV 4,2018,13956.546105480978
Toyota,Yaris iA,2016,32.50351745984517
Toyota,4 Runner,2017,49848.544225181686
Toyota,Camry,2019,31412.962884388082
Toyota,Land Cruiser Prado,2023,50466.60607874817
Toyota,Camry,2014,13727.863970146958
Toyota,Prius,2008,-9062.136633627182
Toyota,Prius V,2012,-6755.839406859159
Toyota,Alphard,2014,274.9129134195173
Toyota,Camry,2000,-36228.689045972256
